id,song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
7hR22TOX3RorxJPcsz5Wbo,Love Somebody,Morgan Wallen,0.619,0.843,5,-5.348,0,0.0284,0.00948,0.000118,0.164,0.746,122.064,audio_features,spotify:track:7hR22TOX3RorxJPcsz5Wbo,https://api.spotify.com/v1/tracks/7hR22TOX3RorxJPcsz5Wbo,https://api.spotify.com/v1/audio-analysis/7hR22TOX3RorxJPcsz5Wbo,204829,4
0W4NhJhcqKCqEP2GIpDCDq,Love,Keyshia Cole,0.688,0.518,5,-4.285,1,0.0283,0.0642,0.0,0.1,0.314,116.714,audio_features,spotify:track:0W4NhJhcqKCqEP2GIpDCDq,https://api.spotify.com/v1/tracks/0W4NhJhcqKCqEP2GIpDCDq,https://api.spotify.com/v1/audio-analysis/0W4NhJhcqKCqEP2GIpDCDq,255333,4
6dBUzqjtbnIa1TwYbyw5CM,Lovers Rock,TV Girl,0.559,0.871,5,-5.338,0,0.0397,7.53e-06,0.00545,0.096,0.572,104.97,audio_features,spotify:track:6dBUzqjtbnIa1TwYbyw5CM,https://api.spotify.com/v1/tracks/6dBUzqjtbnIa1TwYbyw5CM,https://api.spotify.com/v1/audio-analysis/6dBUzqjtbnIa1TwYbyw5CM,213920,4
2XHzzp1j4IfTNp1FTn7YFg,Love Me,"Lil Wayne, Drake, Future",0.67,0.634,11,-6.471,1,0.0326,0.0124,0.0,0.0946,0.497,124.926,audio_features,spotify:track:2XHzzp1j4IfTNp1FTn7YFg,https://api.spotify.com/v1/tracks/2XHzzp1j4IfTNp1FTn7YFg,https://api.spotify.com/v1/audio-analysis/2XHzzp1j4IfTNp1FTn7YFg,255053,4
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),"Billie Eilish, Khalid",0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,audio_features,spotify:track:0u2P5u6lvoDfwTYjAADbn4,https://api.spotify.com/v1/tracks/0u2P5u6lvoDfwTYjAADbn4,https://api.spotify.com/v1/audio-analysis/0u2P5u6lvoDfwTYjAADbn4,200186,4
5oO3drDxtziYU2H1X23ZIp,Love On The Brain,Rihanna,0.509,0.637,4,-4.83,0,0.047,0.0717,1.08e-05,0.0789,0.379,172.007,audio_features,spotify:track:5oO3drDxtziYU2H1X23ZIp,https://api.spotify.com/v1/tracks/5oO3drDxtziYU2H1X23ZIp,https://api.spotify.com/v1/audio-analysis/5oO3drDxtziYU2H1X23ZIp,224000,3
6Jv7kjGkhY2fT4yuBF3aTz,"Lover, You Should've Come Over",Jeff Buckley,0.387,0.595,2,-5.67,1,0.0389,0.361,1.1e-05,0.174,0.151,119.38,audio_features,spotify:track:6Jv7kjGkhY2fT4yuBF3aTz,https://api.spotify.com/v1/tracks/6Jv7kjGkhY2fT4yuBF3aTz,https://api.spotify.com/v1/audio-analysis/6Jv7kjGkhY2fT4yuBF3aTz,404213,3
6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.,"Kendrick Lamar, Zacari",0.8,0.585,10,-7.343,1,0.0924,0.264,0.0,0.153,0.779,126.058,audio_features,spotify:track:6PGoSes0D9eUDeeAafB2As,https://api.spotify.com/v1/tracks/6PGoSes0D9eUDeeAafB2As,https://api.spotify.com/v1/audio-analysis/6PGoSes0D9eUDeeAafB2As,213400,4
6qL5UWxRSQYml9O99ozoLv,Love Songs - Bonus,Kaash Paige,0.64,0.355,5,-10.599,1,0.0906,0.83,0.000938,0.11,0.451,120.063,audio_features,spotify:track:6qL5UWxRSQYml9O99ozoLv,https://api.spotify.com/v1/tracks/6qL5UWxRSQYml9O99ozoLv,https://api.spotify.com/v1/audio-analysis/6qL5UWxRSQYml9O99ozoLv,148640,4
1dGr1c8CrMLDpV6mPbImSI,Lover,Taylor Swift,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,audio_features,spotify:track:1dGr1c8CrMLDpV6mPbImSI,https://api.spotify.com/v1/tracks/1dGr1c8CrMLDpV6mPbImSI,https://api.spotify.com/v1/audio-analysis/1dGr1c8CrMLDpV6mPbImSI,221307,4
