id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,artist,song_title,cluster,track_id
00Ea8C3zBiLApjegVy2n1R,0.53,0.725,4.0,-5.489,1.0,0.0296,0.051,0.0,0.0893,0.341,139.935,audio_features,spotify:track:00Ea8C3zBiLApjegVy2n1R,https://api.spotify.com/v1/tracks/00Ea8C3zBiLApjegVy2n1R,https://api.spotify.com/v1/audio-analysis/00Ea8C3zBiLApjegVy2n1R,185401.0,4.0,Upchurch,Country Girls,0.0,
00fjo9x6qJTFwARfpQYijD,0.684,0.779,7.0,-7.028,1.0,0.134,0.0827,0.0,0.34,0.632,95.988,audio_features,spotify:track:00fjo9x6qJTFwARfpQYijD,https://api.spotify.com/v1/tracks/00fjo9x6qJTFwARfpQYijD,https://api.spotify.com/v1/audio-analysis/00fjo9x6qJTFwARfpQYijD,154587.0,4.0,Walker Hayes,Country Stuff (feat. Jake Owen),1.0,
0113kB5PUEGvDHVBopCuTo,0.374,0.39,4.0,-7.223,1.0,0.0283,0.453,0.000518,0.257,0.3,183.219,audio_features,spotify:track:0113kB5PUEGvDHVBopCuTo,https://api.spotify.com/v1/tracks/0113kB5PUEGvDHVBopCuTo,https://api.spotify.com/v1/audio-analysis/0113kB5PUEGvDHVBopCuTo,301747.0,3.0,Tyler Childers,Creeker,7.0,
01BLFXACRypODfqC7wUgWo,0.732,0.458,5.0,-7.225,1.0,0.0311,0.447,0.0,0.136,0.661,98.942,audio_features,spotify:track:01BLFXACRypODfqC7wUgWo,https://api.spotify.com/v1/tracks/01BLFXACRypODfqC7wUgWo,https://api.spotify.com/v1/audio-analysis/01BLFXACRypODfqC7wUgWo,165387.0,4.0,Sam Hunt,Body Like A Back Road,9.0,
01IEslO3ACWS6C8PZF89nm,0.62,0.507,1.0,-5.891,1.0,0.0307,0.111,0.0,0.101,0.266,120.065,audio_features,spotify:track:01IEslO3ACWS6C8PZF89nm,https://api.spotify.com/v1/tracks/01IEslO3ACWS6C8PZF89nm,https://api.spotify.com/v1/audio-analysis/01IEslO3ACWS6C8PZF89nm,239347.0,4.0,Cody Johnson,Dirt Cheap,0.0,
01Lr5YepbgjXAWR9iOEyH1,0.772,0.413,0.0,-8.194,0.0,0.0891,0.0361,0.0,0.111,0.211,131.964,audio_features,spotify:track:01Lr5YepbgjXAWR9iOEyH1,https://api.spotify.com/v1/tracks/01Lr5YepbgjXAWR9iOEyH1,https://api.spotify.com/v1/audio-analysis/01Lr5YepbgjXAWR9iOEyH1,246213.0,4.0,Chief Keef,Love Sosa,5.0,
01g05Ii7fj7F8V1UlYFf1q,0.719,0.628,3.0,-7.575,1.0,0.0681,0.717,5.58e-05,0.134,0.799,120.037,audio_features,spotify:track:01g05Ii7fj7F8V1UlYFf1q,https://api.spotify.com/v1/tracks/01g05Ii7fj7F8V1UlYFf1q,https://api.spotify.com/v1/audio-analysis/01g05Ii7fj7F8V1UlYFf1q,204277.0,4.0,Medium Build,Cutting Thru The Country,9.0,
01mT79q8TxozkvsE9imE5i,0.883,0.543,1.0,-9.8,1.0,0.148,0.132,0.000107,0.149,0.657,100.312,audio_features,spotify:track:01mT79q8TxozkvsE9imE5i,https://api.spotify.com/v1/tracks/01mT79q8TxozkvsE9imE5i,https://api.spotify.com/v1/audio-analysis/01mT79q8TxozkvsE9imE5i,162676.0,4.0,BigXthaPlug,Lost The Love (ChopNotSlop Remix),2.0,
020Qur7rp94GZ4Bx5fkdb3,0.621,0.883,1.0,-4.819,1.0,0.0304,0.00796,0.00336,0.114,0.304,104.018,audio_features,spotify:track:020Qur7rp94GZ4Bx5fkdb3,https://api.spotify.com/v1/tracks/020Qur7rp94GZ4Bx5fkdb3,https://api.spotify.com/v1/audio-analysis/020Qur7rp94GZ4Bx5fkdb3,233173.0,4.0,Randall King,Burns Like Her,0.0,
02D9uD9WQb834Lb54xCvDS,0.606,0.648,0.0,-7.802,1.0,0.0466,0.349,0.0,0.639,0.647,59.041,audio_features,spotify:track:02D9uD9WQb834Lb54xCvDS,https://api.spotify.com/v1/tracks/02D9uD9WQb834Lb54xCvDS,https://api.spotify.com/v1/audio-analysis/02D9uD9WQb834Lb54xCvDS,290067.0,4.0,Jodeci,Love U 4 Life,6.0,
