song_title,artist,origin,song_title_normalized
A Bar Song (Tipsy),Shaboozey,WW,a bar song (tipsy)
Die With A Smile,Lady Gaga & Bruno Mars,WW,die with a smile
Birds Of A Feather,Billie Eilish,WW,birds of a feather
Espresso,Sabrina Carpenter,WW,espresso
Lose Control,Teddy Swims,WW,lose control
I Had Some Help,Post Malone Featuring Morgan Wallen,WW,i had some help
Taste,Sabrina Carpenter,WW,taste
Beautiful Things,Benson Boone,WW,beautiful things
Love Somebody,Morgan Wallen,WW,love somebody
Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",WW,sticky
"Good Luck, Babe!",Chappell Roan,WW,"good luck, babe!"
Too Sweet,Hozier,WW,too sweet
That's So True,Gracie Abrams,WW,that's so true
St. Chroma,"Tyler, The Creator Featuring Daniel Caesar",WW,st. chroma
APT.,ROSE & Bruno Mars,WW,apt.
Please Please Please,Sabrina Carpenter,WW,please please please
Not Like Us,Kendrick Lamar,WW,not like us
I Am Not Okay,Jelly Roll,WW,i am not okay
Timeless,The Weeknd & Playboi Carti,WW,timeless
Hot To Go!,Chappell Roan,WW,hot to go!
"Darling, I","Tyler, The Creator Featuring Teezo Touchdown",WW,"darling, i"
Lies Lies Lies,Morgan Wallen,WW,lies lies lies
Tu Boda,Oscar Maydon & Fuerza Regida,WW,tu boda
Stargazing,Myles Smith,WW,stargazing
Rah Tah Tah,"Tyler, The Creator",WW,rah tah tah
Sailor Song,Gigi Perez,WW,sailor song
Million Dollar Baby,Tommy Richman,WW,million dollar baby
"I Love You, I'm Sorry",Gracie Abrams,WW,"i love you, i'm sorry"
Like Him,"Tyler, The Creator Featuring Lola Young",WW,like him
Whatchu Kno About Me,GloRilla & Sexyy Red,WW,whatchu kno about me
Miles On It,Marshmello & Kane Brown,WW,miles on it
Wildflower,Billie Eilish,WW,wildflower
Cowgirls,Morgan Wallen Featuring ERNEST,WW,cowgirls
Bed Chem,Sabrina Carpenter,WW,bed chem
The Door,Teddy Swims,WW,the door
TGIF,GloRilla,WW,tgif
Noid,"Tyler, The Creator",WW,noid
Pink Skies,Zach Bryan,WW,pink skies
Thought I Was Dead,"Tyler, The Creator Featuring ScHoolboy Q & Santigold",WW,thought i was dead
You Look Like You Love Me,Ella Langley Featuring Riley Green,WW,you look like you love me
Ain't No Love In Oklahoma,Luke Combs,WW,ain't no love in oklahoma
Austin,Dasha,WW,austin
I Can Do It With A Broken Heart,Taylor Swift,WW,i can do it with a broken heart
Who,Jimin,WW,who
High Road,Koe Wetzel & Jessie Murph,WW,high road
Pink Pony Club,Chappell Roan,WW,pink pony club
Wind Up Missin' You,Tucker Wetmore,WW,wind up missin' you
Chill Bae,Lil Uzi Vert,WW,chill bae
Kehlani,Jordan Adetunji,WW,kehlani
Pour Me A Drink,Post Malone Featuring Blake Shelton,WW,pour me a drink
Dos Dias,Tito Double P & Peso Pluma,WW,dos dias
Judge Judy,"Tyler, The Creator",WW,judge judy
Dancing In The Flames,The Weeknd,WW,dancing in the flames
Light Year (Practice),Lil Uzi Vert,WW,light year (practice)
25,Rod Wave,WW,25
Help Me,Real Boston Richey,WW,help me
It's Ok I'm Ok,Tate McRae,WW,it's ok i'm ok
Disease,Lady Gaga,WW,disease
Take Your Mask Off,"Tyler, The Creator Featuring Daniel Caesar & Latoiya Williams",WW,take your mask off
Balloon,"Tyler, The Creator Featuring Doechii",WW,balloon
Hey Jane,"Tyler, The Creator",WW,hey jane
Si Antes Te Hubiera Conocido,Karol G,WW,si antes te hubiera conocido
Beautiful As You,Thomas Rhett,WW,beautiful as you
Shake Dat Ass (Twerk Song),BossMan Dlow,WW,shake dat ass (twerk song)
I Killed You,"Tyler, The Creator",WW,i killed you
I'm Gonna Love You,Cody Johnson & Carrie Underwood,WW,i'm gonna love you
Juno,Sabrina Carpenter,WW,juno
Heart Of A Woman,Summer Walker,WW,heart of a woman
Residuals,Chris Brown,WW,residuals
Diet Pepsi,Addison Rae,WW,diet pepsi
La Patrulla,Peso Pluma & Neton Vega,WW,la patrulla
I Never Lie,Zach Top,WW,i never lie
Tomorrow,"Tyler, The Creator",WW,tomorrow
El Lokeron,Tito Double P,WW,el lokeron
Close To You,Gracie Abrams,WW,close to you
28,Zach Bryan,WW,28
Sao Paulo,The Weeknd & Anitta,WW,sao paulo
Nights Like This,The Kid LAROI,WW,nights like this
Mamushi,Megan Thee Stallion Featuring Yuki Chiba,WW,mamushi
South Of France,Future,WW,south of france
Guy For That,Post Malone Featuring Luke Combs,WW,guy for that
We Good,Lil Uzi Vert,WW,we good
Think I'm In Love With You,Chris Stapleton,WW,think i'm in love with you
No One Noticed,The Marias,WW,no one noticed
Good Graces,Sabrina Carpenter,WW,good graces
Or What?,NLE Choppa & 41,WW,or what?
Apple,Charli xcx,WW,apple
Am I Okay?,Megan Moroney,WW,am i okay?
Liar,Jelly Roll,WW,liar
New Drop,Don Toliver,WW,new drop
I Luv Her,GloRilla & T-Pain,WW,i luv her
Prove It,21 Savage & Summer Walker,WW,prove it
I Hope You Find Your Way Home,"Tyler, The Creator",WW,i hope you find your way home
No Pole,Don Toliver,WW,no pole
2AM,BigXthaPlug,WW,2am
Hollon,GloRilla,WW,hollon
Lonely Road,mgk & Jelly Roll,WW,lonely road
Change Me,BigXthaPlug,WW,change me
Him All Along,Gunna,WW,him all along
Brokey,Latto,WW,brokey
