song_title,artist
Bad Dreams,Teddy Swims
The Emptiness Machine,LINKIN PARK
BIRDS OF A FEATHER,Billie Eilish
APT.,ROSÉ & Bruno Mars
Fliegen,Nina Chuba
A Bar Song (Tipsy),Shaboozey
Forever Young,"David Guetta, Alphaville & Ava Max"
Die With A Smile,Lady Gaga & Bruno Mars
I Adore You (feat. Daecolm),"HUGEL, Topic & Arash"
Now Or Never,Pitbull & Bon Jovi
Outta Da Blue,"Snoop Dogg, Dr. Dre & Alus"
Fata Morgana,Nina Chuba & Tokio Hotel
It Feels So Good,Matt Sassari & HUGEL
"Good Luck, Babe!",Chappell Roan
Dancing In The Flames,The Weeknd
WE PRAY,"Coldplay, Little Simz, Burna Boy, Elyanna & TINI"
Mama hat gesagt,"SDP, Sido & Esther Graf"
Idiot (feat. Michelle) [Stereoact Remix],Stereoact & Matthias Reim
Halo,Rea Garvey
Wunder,AYLIVA & Apache 207
Wave,FAST BOY & Raf
Austin (Boots Stop Workin'),Dasha
Why Why Why,Shawn Mendes
Stumblin' In,CYRIL
The Sound of Silence (CYRIL Remix),Disturbed
Black Friday (pretty like the sun),Lost Frequencies & Tom Odell
Freestyler (Rock The Microphone),Lost Frequencies & Bomfunk MC's
i like the way you kiss me,Artemas
Bauch Beine Po,Shirin David
Es ist Nacht (feat. Benne & Kaiser Quartett),Schönherz & Fleer & Clara Louise
All I Want for Christmas Is You,Mariah Carey
feelslikeimfallinginlove,Coldplay
Fata Morgana,Nina Chuba
Saved My Life (Extended Mix),"Avi Snow, Tamir Regev & Eytan Peled"
Last Christmas (Single Version),Wham!
Miami,Apache 207
Heavy Is the Crown,LINKIN PARK
Merciless,Body Count
Beautiful Things,Benson Boone
It's My Life,Bon Jovi
Two Faced,LINKIN PARK
Belong Together,Mark Ambor
Someday Soon,ClockClock
Lose Control,Teddy Swims
That’s So True,Gracie Abrams
Geschlossene Augen,SANTOS & Sido
(Feels Like) Heaven,Fiction Factory
Espresso,Sabrina Carpenter
In the Air Tonight,Phil Collins
Ich werde da sein,Roland Kaiser
Nasser Asphalt,Samra
Hurt,Johnny Cash
Ray Of Light,Nico Santos
Forever Young (Extended),"David Guetta, Alphaville & Ava Max"
Houdini,Eminem
Wonderful Dream (Holidays Are Coming) [Radio Version],Melanie Thornton
World Gone Wild (feat. Sam Martin),Robin Schulz & CYRIL
It's Beginning To Look a Lot Like Christmas,Michael Bublé
The End,Soap&Skin
Irgendwann im Leben,Nino de Angelo
Talkin' Bout a Revolution,Tracy Chapman
Shut Up And Dance,Sophie and the Giants
The Cave,Safri Duo
Weiße Haare,Florian Künstler
Young Lion,Sade Adu
Snowman,Sia
Stars Will Align,Kygo & Imagine Dragons
Too Sweet,Hozier
Taximann (LIVE WALDBÜHNE BERLIN),Westernhagen
The Sound of Silence,Disturbed
Vois sur ton chemin (Techno Mix),BENNETT
Over Each Other,LINKIN PARK
Komet,Udo Lindenberg & Apache 207
Te Imaginaba,Alvaro Soler
"Was ist Liebe (feat. Benne, Clara Louise & Kaiser Quartett)",Schönherz & Fleer
All My Life,Purple Disco Machine & The Magician
Liebe auf den ersten Beat,Pazoo & Blümchen
Winter Ahead,V & Park Hyo Shin
DJ Play A Christmas Song,Cher & Giovanni Zarrella
Always Remember Us This Way,Lady Gaga
Mystery Of Love,Soap&Skin
Taste,Sabrina Carpenter
Running Wild,Jin
It Girl,Shirin David & Sampagne
Friends,KAMRAD
Let's Go,Jaden Bojsen & David Guetta
Like a Prayer (Choir Version From “Deadpool & Wolverine”),I'll Take You There Choir
Disease,Lady Gaga
Si Antes Te Hubiera Conocido,KAROL G
231 - und der Dreiäugige Schakal (Inhaltsangabe),Die drei ???
Alpenrausch,Pepe Palme & DJ Zwibbelwirt
Forever Young,Alphaville
Gorgeous,"Snoop Dogg, Dr. Dre & Jhené Aiko"
São Paulo,The Weeknd & Anitta
Wenn du aufwachst,Berit Finke
Mach Dich Locker,Durchblick
Guten Morgen Sonnenschein,Nana Mouskouri
Good Things Go,LINKIN PARK
Whiplash,Architects
EUROS & DOLLARS,Shahri & Sama
