song_title,artist,origin
+57,"Karol G, Feid & DFZM Featuring Ovy On The Drums, J Balvin, Maluma, Ryan Castro & Blessd",WW
25,Rod Wave,WW
28,Zach Bryan,WW
4X4Xu,Lainey Wilson,WW
A Bar Song (Tipsy),Shaboozey,WW_DE
A Lot More Free,Max McNown,DE
Ain'T No Love In Oklahoma,Luke Combs,WW
All I Want For Christmas Is You,Mariah Carey,DE
All My Life,Purple Disco Machine & The Magician,DE
Always Remember Us This Way,Lady Gaga,DE
Am I Okay?,Megan Moroney,WW
Amor Che Muovi Il Sole,Zucchero,DE
Apple,Charli xcx,WW
Apt.,ROSE & Bruno Mars,WW_DE
Austin,Dasha,WW
Austin (Boots Stop Workin'),Dasha,DE
Bad Dreams,Teddy Swims,WW_DE
Balloon,"Tyler, The Creator Featuring Doechii",WW
Bauch Beine Po,Shirin David,DE
Beautiful As You,Thomas Rhett,WW
Beautiful Things,Benson Boone,WW_DE
Bed Chem,Sabrina Carpenter,WW
Bella Napoli,Roy Bianco & Die Abbrunzati Boys,DE
Belong Together,Mark Ambor,DE
Better Days (Feat. Declan J Donovan),Glockenbach,DE
Birds Of A Feather,Billie Eilish,WW_DE
Black Friday (Pretty Like The Sun),Lost Frequencies & Tom Odell,DE
Born With A Broken Heart,Damiano David,DE
Brokey,Latto,WW
Close To You,Gracie Abrams,WW
Cowgirls,Morgan Wallen Featuring ERNEST,WW
Criminals,Meghan Trainor,WW
Dancing In The Flames,The Weeknd,WW_DE
"Darling, I","Tyler, The Creator Featuring Teezo Touchdown",WW
Die With A Smile,Lady Gaga & Bruno Mars,WW_DE
Diet Pepsi,Addison Rae,WW
Disease,Lady Gaga,WW_DE
Dos Dias,Tito Double P & Peso Pluma,WW
Driving Home For Christmas,Chris Rea,DE
El Lokeron,Tito Double P,WW
Espresso,Sabrina Carpenter,WW_DE
Fata Morgana,Nina Chuba & Tokio Hotel,DE
Fata Morgana,Nina Chuba,DE
Feelslikeimfallinginlove,Coldplay,DE
Finally,Swedish House Mafia & Alicia Keys,DE
For Me,Loe Shimmy & Brent Faiyaz,WW
Forever Young,"David Guetta, Alphaville & Ava Max",DE
Forever Young,Alphaville,DE
Forever Young (Extended),"David Guetta, Alphaville & Ava Max",DE
Friends,KAMRAD,DE
Geschlossene Augen,SANTOS & Sido,DE
Good Graces,Sabrina Carpenter,WW
"Good Luck, Babe!",Chappell Roan,WW_DE
Good Things Go,LINKIN PARK,DE
Guy For That,Post Malone Featuring Luke Combs,WW
Halo,Rea Garvey,DE
Happy Birthday,Stevie Wonder,DE
Hard Fought Hallelujah,Brandon Lake,WW
Heart Of A Woman,Summer Walker,WW
Heart Of Gold,Shawn Mendes,DE
Heavy Is The Crown,LINKIN PARK,DE
Hells Bells,AC/DC,DE
Help Me,Real Boston Richey,WW
High Road,Zach Bryan,WW
High Road,Koe Wetzel & Jessie Murph,WW
Him All Along,Gunna,WW
Hot To Go!,Chappell Roan,WW
Houdini,Eminem,DE
I Adore You (Feat. Daecolm),"HUGEL, Topic & Arash",DE
I Ain'T Sayin',Jordan Davis,WW
I Am Not Okay,Jelly Roll,WW
I Can Do It With A Broken Heart,Taylor Swift,WW
I Had Some Help,Post Malone Featuring Morgan Wallen,WW
I Like The Way You Kiss Me,Artemas,DE
"I Love You, I'M Sorry",Gracie Abrams,WW
I Luv Her,GloRilla & T-Pain,WW
I Never Lie,Zach Top,WW
I'M Gonna Love You,Cody Johnson & Carrie Underwood,WW
Ich Werde Da Sein,Roland Kaiser,DE
Idiot (Feat. Michelle) [Stereoact Remix],Stereoact & Matthias Reim,DE
In The Air Tonight,Phil Collins,DE
In The End,LINKIN PARK,DE
Irgendwann Im Leben,Nino de Angelo,DE
Irgendwer,Wincent Weiss,DE
It Feels So Good,Matt Sassari & HUGEL,DE
It Girl,Shirin David & Sampagne,DE
It'S Ok I'M Ok,Tate McRae,WW
Judge Judy,"Tyler, The Creator",WW
Juno,Sabrina Carpenter,WW
Kehlani,Jordan Adetunji,WW
Kisses (Feat. Bbyclose),BL3SS & CamrinWatsin,DE
Komet,Udo Lindenberg & Apache 207,DE
La Patrulla,Peso Pluma & Neton Vega,WW
Last Christmas,Wham!,WW
Last Christmas (Single Version),Wham!,DE
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,DE
Liar,Jelly Roll,WW
Lies Lies Lies,Morgan Wallen,WW
Like A Prayer (Choir Version From “Deadpool & Wolverine”),I'll Take You There Choir,DE
Like Him,"Tyler, The Creator Featuring Lola Young",WW
Lonely Road,mgk & Jelly Roll,WW
Lose Control,Teddy Swims,WW_DE
Love Somebody,Morgan Wallen,WW
Mama Hat Gesagt,"SDP, Sido & Esther Graf",DE
Mamushi,Megan Thee Stallion Featuring Yuki Chiba,WW
Miami,Apache 207,DE
Miles On It,Marshmello & Kane Brown,WW
Million Dollar Baby,Tommy Richman,WW
Move,"Adam Port, Stryv & Malachiii",DE
Mr. Brightside,The Killers,DE
Nel,Fuerza Regida,WW
Never Too Late (From The Film “Elton John: Never Too Late”),Elton John & Brandi Carlile,DE
New Drop,Don Toliver,WW
No One Noticed,The Marias,WW
No Pole,Don Toliver,WW
Noid,"Tyler, The Creator",WW
Not Like Us,Kendrick Lamar,WW
Now Or Never,Pitbull & Bon Jovi,DE
Now We Are Free,"Hans Zimmer, Lisa Gerrard, Gavin Greenaway, The Lyndhurst Orchestra, Bruce Fowler, Yvonne S. Moriarty, Walt Fowler, Ladd McIntosh, Elizabeth Finch & Jack Smalley",DE
Omg,Pietro Lombardi,DE
On One Tonight,Gunna,WW
Or What?,NLE Choppa & 41,WW
Over Each Other,LINKIN PARK,DE
Perfect Soul,Spiritbox,DE
Pink Pony Club,Chappell Roan,WW
Pink Skies,Zach Bryan,WW
Please Please Please,Sabrina Carpenter,WW
Prove It,21 Savage & Summer Walker,WW
Rah Tah Tah,"Tyler, The Creator",WW
Ray Of Light,Nico Santos,DE
Residuals,Chris Brown,WW
Running Wild,JIN,DE
Running Wild,JIN,DE
Running Wild (Afropop Remix),JIN,DE
Running Wild (Ballad Remix),JIN,DE
Running Wild (Band Ver.),JIN,DE
Running Wild (Extended Ver.),JIN,DE
Running Wild (Holiday Remix),JIN,DE
Running Wild (Instrumental),JIN,DE
Running Wild (Uk Garage Remix),JIN,DE
Sailor Song,Gigi Perez,WW
Shake Dat Ass (Twerk Song),BossMan Dlow,WW
Shut Up And Dance,Sophie and the Giants,DE
Snowman,Sia,DE
Someday Soon,ClockClock,DE
Spot A Fake,Ava Max,DE
St. Chroma,"Tyler, The Creator Featuring Daniel Caesar",WW
Stained,LINKIN PARK,DE
Stargazing,Myles Smith,WW
Stars Will Align,Kygo & Imagine Dragons,DE
Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",WW
Stumblin' In,CYRIL,DE
Take Your Mask Off,"Tyler, The Creator Featuring Daniel Caesar & Latoiya Williams",WW
Taste,Sabrina Carpenter,WW_DE
Tattoo,Loreen,DE
Tgif,GloRilla,WW
That'S So True,Gracie Abrams,WW
That’S So True,Gracie Abrams,DE
The Door,Teddy Swims,WW
The Emptiness Machine,LINKIN PARK,DE
The Largest,BigXthaPlug,WW
The Sound Of Silence (Cyril Remix),Disturbed,DE
Thick Of It,KSI Featuring Trippie Redd,WW
Think I'M In Love With You,Chris Stapleton,WW
This World'S A Giant,Zach Bryan,WW
Thought I Was Dead,"Tyler, The Creator Featuring ScHoolboy Q & Santigold",WW
Timeless,The Weeknd & Playboi Carti,WW
Too Sweet,Hozier,WW_DE
Tu Boda,Oscar Maydon & Fuerza Regida,WW
Two Faced,LINKIN PARK,DE
Unstoppable,Sia,DE
Wave,FAST BOY & Raf,DE
We Pray,"Coldplay, Little Simz, Burna Boy, Elyanna & TINI",DE
Weiße Haare,Florian Künstler,DE
Whatchu Kno About Me,GloRilla & Sexyy Red,WW
Who,Jimin,WW
Why Why Why,Shawn Mendes,DE
Wildflower,Billie Eilish,WW_DE
Wind Up Missin' You,Tucker Wetmore,WW
Wondering Why,The Red Clay Strays,WW
World Gone Wild (Feat. Sam Martin),Robin Schulz & CYRIL,DE
Wunder,AYLIVA & Apache 207,DE
You Look Like You Love Me,Ella Langley Featuring Riley Green,WW
Zombie,The Cranberries,DE
Zu Nah Am Feuer (Feat. Alice),Stefan Waggershausen,DE
オトノケ - Otonoke,Creepy Nuts,DE
